title,wiki_slug,year,screenwriters,directors,cast_from_list,genre,awards,notes,cast_count,period
מבצע קהיר,מבצע_קהיר,1966,[],"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]","[{""name"": ""אודי מרפי"", ""slug"": ""אודי_מרפי""}, {""name"": ""יוסף ידין"", ""slug"": ""יוסף_ידין""}, {""name"": ""גילה אלמגור"", ""slug"": ""גילה_אלמגור""}]",פעולה,1966,,3,A (<=1970)
מוישה ונטילטור,מוישה_ונטילטור,1966,[],"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]","[{""name"": ""יעקב בודו"", ""slug"": ""יעקב_בודו""}, {""name"": ""גדעון זינגר"", ""slug"": ""גדעון_זינגר""}, {""name"": ""שייקה אופיר"", ""slug"": ""שייקה_אופיר""}, {""name"": ""הגשש החיוור"", ""slug"": ""הגשש_החיוור""}]",קומדיה,1966,,4,A (<=1970)
פורטונה,פורטונה_(סרט),1966,[],"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]","[{""name"": ""גילה אלמגור"", ""slug"": ""גילה_אלמגור""}, {""name"": ""יוסי בנאי"", ""slug"": ""יוסי_בנאי""}, {""name"": ""שמוליק קראוס"", ""slug"": ""שמוליק_קראוס""}, {""name"": ""אברהם מור"", ""slug"": ""אברהם_מור""}, {""name"": ""אבנר חזקיהו"", ""slug"": ""אבנר_חזקיהו""}, {""name"": ""שלישיית הגשש החיוור"", ""slug"": ""הגשש_החיוור""}]",דרמה,1966,,6,A (<=1970)
שני קוני למל,שני_קוני_למל_(סרט),1966,[],"[{""name"": ""ישראל בקר"", ""slug"": ""ישראל_בקר""}]","[{""name"": ""מייק בורשטיין"", ""slug"": ""מייק_בורשטיין""}, {""name"": ""רפאל קלצ'קין"", ""slug"": ""רפאל_קלצ'קין""}, {""name"": ""ז'רמן אוניקובסקי"", ""slug"": ""ז'רמן_אוניקובסקי""}, {""name"": ""שמואל רודנסקי"", ""slug"": ""שמואל_רודנסקי""}, {""name"": ""אלישבע מיכאלי"", ""slug"": ""אלישבע_מיכאלי""}]",קומדיה,1966,,5,A (<=1970)
מורדי האור,,1966,[],"[{""name"": ""אלכסנדר רמתי"", ""slug"": ""אלכסנדר_רמתי""}]",[],,1966,,0,A (<=1970)
פיצוץ בחצות,פיצוץ_בחצות,1966,[],"[{""name"": ""הרווה ברומברגר"", ""slug"": null}]",[],,1966,,0,A (<=1970)
סבינה והגברים,סבינה_והגברים,1966,[],"[{""name"": ""פיטר פריישטדט"", ""slug"": ""פיטר_פריישטדט""}]",[],,1966,,0,A (<=1970)
60 שעות לסואץ,,1967,[],"[{""name"": ""יעקב יגר"", ""slug"": ""יעקב_יגר""}]","[{""name"": ""מישא אשרוב"", ""slug"": ""מישא_אשרוב""}, {""name"": ""אביבה מרקס"", ""slug"": ""אביבה_מרקס""}, {""name"": ""אלכס פלג"", ""slug"": ""אלכס_פלג""}, {""name"": ""גדעון שמר"", ""slug"": ""גדעון_שמר""}, {""name"": ""גאולה נוני"", ""slug"": ""גאולה_נוני""}]",דרמה,1967,,5,A (<=1970)
999 עליזה מזרחי,999_עליזה_מזרחי,1967,[],"[{""name"": ""מנחם גולן"", ""slug"": null}]","[{""name"": ""עדנה פלידל"", ""slug"": ""עדנה_פלידל""}, {""name"": ""אבנר חזקיהו"", ""slug"": ""אבנר_חזקיהו""}, {""name"": ""יוסי בנאי"", ""slug"": ""יוסי_בנאי""}, {""name"": ""אריק לביא"", ""slug"": ""אריק_לביא""}]",קומדיה,1967,,4,A (<=1970)
אישה בחדר השני,,1967,[],"[{""name"": ""יצחק צפל ישורון"", ""slug"": ""יצחק_צפל_ישורון""}]",[],דרמה,1967,,0,A (<=1970)
ארבינקא,ארבינקא,1967,[],"[{""name"": ""אפרים קישון"", ""slug"": ""אפרים_קישון""}]","[{""name"": ""חיים טופול"", ""slug"": ""חיים_טופול""}, {""name"": ""אבנר חזקיהו"", ""slug"": ""אבנר_חזקיהו""}, {""name"": ""גילה אלמגור"", ""slug"": ""גילה_אלמגור""}, {""name"": ""הגשש החיוור"", ""slug"": ""הגשש_החיוור""}]",קומדיה,1967,,4,A (<=1970)
הוא הלך בשדות,הוא_הלך_בשדות_(סרט),1967,[],"[{""name"": ""יוסף מילוא"", ""slug"": ""יוסף_מילוא""}]","[{""name"": ""אסי דיין"", ""slug"": ""אסי_דיין""}, {""name"": ""איריס יוטבת"", ""slug"": ""איריס_יוטבת""}]",דרמה,1967,,2,A (<=1970)
המניע לרצח,המניע_לרצח,1967,[],"[{""name"": ""פטר פריישטדט"", ""slug"": null}]","[{""name"": ""גילה אלמגור"", ""slug"": ""גילה_אלמגור""}, {""name"": ""אהרן מסקין"", ""slug"": ""אהרן_מסקין""}, {""name"": ""גדעון זינגר"", ""slug"": ""גדעון_זינגר""}, {""name"": ""עודד תאומי"", ""slug"": ""עודד_תאומי""}]",מתח,1967,,4,A (<=1970)
סיירים,סיירים_(סרט),1967,[],"[{""name"": ""מיכה שגריר"", ""slug"": ""מיכה_שגריר""}]","[{""name"": ""זאב רווח"", ""slug"": ""זאב_רווח""}, {""name"": ""ליאור ייני"", ""slug"": ""ליאור_ייני""}, {""name"": ""אילי גורליצקי"", ""slug"": ""אילי_גורליצקי""}, {""name"": ""אסי דיין"", ""slug"": ""אסי_דיין""}]",דרמה,1967,,4,A (<=1970)
שלושה ימים וילד,שלושה_ימים_וילד_(סרט),1967,[],"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]","[{""name"": ""עודד קוטלר"", ""slug"": ""עודד_קוטלר""}, {""name"": ""ז'רמן אוניקובסקי"", ""slug"": ""ז'רמן_אוניקובסקי""}, {""name"": ""אילי גורליצקי"", ""slug"": ""אילי_גורליצקי""}]",דרמה,1967,,3,A (<=1970)
לאט יותר,לאט_יותר,1967,[],"[{""name"": ""אברהם הפנר"", ""slug"": ""אברהם_הפנר""}]","[{""name"": ""פאני לוביץ'"", ""slug"": ""פאני_לוביץ'""}, {""name"": ""אברהם בן-יוסף"", ""slug"": ""אברהם_בן-יוסף""}]",דרמה,1967,,2,A (<=1970)
הבן האובד,הבן_האובד,1968,[],"[{""name"": ""יוסף שלחין"", ""slug"": ""יוסף_שלחין""}, {""name"": ""אלפרד שטיינהרדט"", ""slug"": ""אלפרד_שטיינהרדט""}]","[{""name"": ""מוסקו אלקלעי"", ""slug"": ""מוסקו_אלקלעי""}, {""name"": ""יעקב אלפרין"", ""slug"": ""יעקב_אלפרין""}, {""name"": ""שלמה בר-שביט"", ""slug"": ""שלמה_בר-שביט""}, {""name"": ""אלברט כהן"", ""slug"": ""אלברט_כהן""}, {""name"": ""דבורה קידר"", ""slug"": ""דבורה_קידר""}]",דרמה,1968,,5,A (<=1970)
השכונה שלנו,השכונה_שלנו,1968,[],"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]","[{""name"": ""שייקה אופיר"", ""slug"": ""שייקה_אופיר""}, {""name"": ""שלישיית הגשש החיוור"", ""slug"": ""שלישיית_הגשש_החיוור""}, {""name"": ""גדי יגיל"", ""slug"": ""גדי_יגיל""}, {""name"": ""גדעון זינגר"", ""slug"": ""גדעון_זינגר""}]",קומדיה,1968,,4,A (<=1970)
טוביה ושבע בנותיו,טוביה_ושבע_בנותיו,1968,[],"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]","[{""name"": ""שמואל רודנסקי"", ""slug"": ""שמואל_רודנסקי""}, {""name"": ""בטי סגל"", ""slug"": ""בטי_סגל""}, {""name"": ""אילי גורליצקי"", ""slug"": ""אילי_גורליצקי""}, {""name"": ""אריאל פורמן"", ""slug"": ""אריאל_פורמן""}, {""name"": ""תקווה מור"", ""slug"": null}]",דרמה,1968,,5,A (<=1970)
