movie_slug,movie_title,year,genre,directors,cast_source,billing_position,actor_name,actor_slug
שמונה_בעקבות_אחד_(סרט),שמונה בעקבות אחד,1964,ילדים,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,1,בומבה צור,בומבה_צור
שמונה_בעקבות_אחד_(סרט),שמונה בעקבות אחד,1964,ילדים,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,2,שייקה אופיר,שייקה_אופיר
שמונה_בעקבות_אחד_(סרט),שמונה בעקבות אחד,1964,ילדים,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,3,גאולה גיל,גאולה_גיל
אולי_תרדו_שם,אולי תרדו שם,1964,ילדים,"[{""name"": ""פוצ'ו"", ""slug"": ""פוצ'ו""}]",list_table,0,דבורה קידר,דבורה_קידר
אולי_תרדו_שם,אולי תרדו שם,1964,ילדים,"[{""name"": ""פוצ'ו"", ""slug"": ""פוצ'ו""}]",list_table,1,יהודה פוקס,יהודה_פוקס_(שחקן)
אולי_תרדו_שם,אולי תרדו שם,1964,ילדים,"[{""name"": ""פוצ'ו"", ""slug"": ""פוצ'ו""}]",list_table,2,אורי זוהר,אורי_זוהר
אולי_תרדו_שם,אולי תרדו שם,1964,ילדים,"[{""name"": ""פוצ'ו"", ""slug"": ""פוצ'ו""}]",list_table,3,אריק איינשטיין,אריק_איינשטיין
הבו_בנות_לאילת,הבו בנות לאילת,1964,,"[{""name"": ""ליאו פילר"", ""slug"": ""ליאו_פילר""}, {""name"": ""נתן אכסלרוד"", ""slug"": ""נתן_אכסלרוד""}]",list_table,0,שלמה בר-שביט,שלמה_בר-שביט
הבו_בנות_לאילת,הבו בנות לאילת,1964,,"[{""name"": ""ליאו פילר"", ""slug"": ""ליאו_פילר""}, {""name"": ""נתן אכסלרוד"", ""slug"": ""נתן_אכסלרוד""}]",list_table,1,אורי לוי,אורי_לוי_(שחקן)
__title__:שבת המלכה__1965,שבת המלכה,1965,דרמה,"[{""name"": ""אילן אלדד"", ""slug"": ""אילן_אלדד""}]",list_table,0,מייק בורשטיין,מייק_בורשטיין
__title__:שבת המלכה__1965,שבת המלכה,1965,דרמה,"[{""name"": ""אילן אלדד"", ""slug"": ""אילן_אלדד""}]",list_table,1,רפאל קלצ'קין,רפאל_קלצ'קין
הילד_מעבר_לרחוב,הילד מעבר לרחוב,1965,ילדים,"[{""name"": ""יוסף שלחין"", ""slug"": ""יוסף_שלחין""}]",list_table,0,אריה אליאס,אריה_אליאס
הילד_מעבר_לרחוב,הילד מעבר לרחוב,1965,ילדים,"[{""name"": ""יוסף שלחין"", ""slug"": ""יוסף_שלחין""}]",list_table,1,שאול שלחין,
הילד_מעבר_לרחוב,הילד מעבר לרחוב,1965,ילדים,"[{""name"": ""יוסף שלחין"", ""slug"": ""יוסף_שלחין""}]",list_table,2,יעקב בנאי,יעקב_בנאי
הילד_מעבר_לרחוב,הילד מעבר לרחוב,1965,ילדים,"[{""name"": ""יוסף שלחין"", ""slug"": ""יוסף_שלחין""}]",list_table,3,ברוך דוד,ברוך_דוד
הילד_מעבר_לרחוב,הילד מעבר לרחוב,1965,ילדים,"[{""name"": ""יוסף שלחין"", ""slug"": ""יוסף_שלחין""}]",list_table,4,אביבה גר,אביבה_גר
רק_לא_בשבת,רק לא בשבת,1965,קומדיה,"[{""name"": ""אלכס יופה"", ""slug"": null}]",list_table,0,דליה פרידלנד,דליה_פרידלנד
רק_לא_בשבת,רק לא בשבת,1965,קומדיה,"[{""name"": ""אלכס יופה"", ""slug"": null}]",list_table,1,מישה אשרוב,מישה_אשרוב
רק_לא_בשבת,רק לא בשבת,1965,קומדיה,"[{""name"": ""אלכס יופה"", ""slug"": null}]",list_table,2,אבנר חזקיהו,אבנר_חזקיהו
רק_לא_בשבת,רק לא בשבת,1965,קומדיה,"[{""name"": ""אלכס יופה"", ""slug"": null}]",list_table,3,גאולה נוני,גאולה_נוני
גבעה_24_אינה_עונה,גבעה 24 אינה עונה,1965,דרמה,"[{""name"": ""ת'ורולד דיקנסון"", ""slug"": null}]",list_table,0,אריק לביא,אריק_לביא
גבעה_24_אינה_עונה,גבעה 24 אינה עונה,1965,דרמה,"[{""name"": ""ת'ורולד דיקנסון"", ""slug"": null}]",list_table,1,מיכאל שילה,מיכאל_שילה
גבעה_24_אינה_עונה,גבעה 24 אינה עונה,1965,דרמה,"[{""name"": ""ת'ורולד דיקנסון"", ""slug"": null}]",list_table,2,חיה הררית,חיה_הררית
גבעה_24_אינה_עונה,גבעה 24 אינה עונה,1965,דרמה,"[{""name"": ""ת'ורולד דיקנסון"", ""slug"": null}]",list_table,3,זלמן לביוש,זלמן_לביוש
גבעה_24_אינה_עונה,גבעה 24 אינה עונה,1965,דרמה,"[{""name"": ""ת'ורולד דיקנסון"", ""slug"": null}]",list_table,4,עזריה רפפורט,עזריה_רפפורט
גבעה_24_אינה_עונה,גבעה 24 אינה עונה,1965,דרמה,"[{""name"": ""ת'ורולד דיקנסון"", ""slug"": null}]",list_table,5,שושנה דמארי,שושנה_דמארי
גבעה_24_אינה_עונה,גבעה 24 אינה עונה,1965,דרמה,"[{""name"": ""ת'ורולד דיקנסון"", ""slug"": null}]",list_table,6,יוסי ידין,יוסי_ידין
גבעה_24_אינה_עונה,גבעה 24 אינה עונה,1965,דרמה,"[{""name"": ""ת'ורולד דיקנסון"", ""slug"": null}]",list_table,7,שרגא פרידמן,שרגא_פרידמן
גבעה_24_אינה_עונה,גבעה 24 אינה עונה,1965,דרמה,"[{""name"": ""ת'ורולד דיקנסון"", ""slug"": null}]",list_table,8,שושנה דואר,שושנה_דואר
מבצע_קהיר,מבצע קהיר,1966,פעולה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,0,אודי מרפי,אודי_מרפי
מבצע_קהיר,מבצע קהיר,1966,פעולה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,1,יוסף ידין,יוסף_ידין
מבצע_קהיר,מבצע קהיר,1966,פעולה,"[{""name"": ""מנחם גולן"", ""slug"": ""מנחם_גולן""}]",list_table,2,גילה אלמגור,גילה_אלמגור
מוישה_ונטילטור,מוישה ונטילטור,1966,קומדיה,"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]",list_table,0,יעקב בודו,יעקב_בודו
מוישה_ונטילטור,מוישה ונטילטור,1966,קומדיה,"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]",list_table,1,גדעון זינגר,גדעון_זינגר
מוישה_ונטילטור,מוישה ונטילטור,1966,קומדיה,"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]",list_table,2,שייקה אופיר,שייקה_אופיר
מוישה_ונטילטור,מוישה ונטילטור,1966,קומדיה,"[{""name"": ""אורי זוהר"", ""slug"": ""אורי_זוהר""}]",list_table,3,הגשש החיוור,הגשש_החיוור
