actor_id,actor_name,actor_slug,first_year,last_year,film_count
אסתר_גרינברג,אסתר גרינברג,אסתר_גרינברג,1970,1970,1
יצחק_מיכאל_שילה,יצחק מיכאל שילה,יצחק_מיכאל_שילה,1955,1971,2
מרים_ברנשטיין-כהן,מרים ברנשטיין-כהן,מרים_ברנשטיין-כהן,1956,1971,2
__name__:תמי צפרוני,תמי צפרוני,,1971,1971,1
פול_ל._סמית',פול ל. סמית',פול_ל._סמית',1971,1971,1
__name__:משה סולו,משה סולו,,1971,1971,1
ניסים_עזיקרי,ניסים עזיקרי,ניסים_עזיקרי,1971,1971,1
חיים_טופול,חיים טופול,חיים_טופול,1960,1971,6
טובה_פרדו,טובה פרדו,טובה_פרדו,1971,1971,1
גדעון_שמר,גדעון שמר,גדעון_שמר,1967,1971,3
שלמה_ארצי,שלמה ארצי,שלמה_ארצי,1971,1971,1
גליה_טופול,גליה טופול,גליה_טופול,1971,1971,1
רות_דורון,רות דורון,רות_דורון,1971,1971,1
יוסף_ידין,יוסף ידין,יוסף_ידין,1963,1971,3
__name__:טובה קצב,טובה קצב,,1972,1972,1
יעל_אביב,יעל אביב,יעל_אביב,1971,1972,2
גבי_אוטרמן,גבי אוטרמן,גבי_אוטרמן,1972,1972,1
שרגא_פרידמן,שרגא פרידמן,שרגא_פרידמן,1965,1972,5
ליאור_ייני,ליאור ייני,ליאור_ייני,1967,1972,2
מונה_זילברשטיין,מונה זילברשטיין,מונה_זילברשטיין,1972,1972,3
__name__:נינט דינר,נינט דינר,,1960,1972,2
לורנס_הארווי,לורנס הארווי,לורנס_הארווי,1972,1972,1
אברהם_חלפי,אברהם חלפי,אברהם_חלפי,1972,1972,1
__name__:אדית אסטרוק,אדית אסטרוק,,1972,1972,1
תמי_ספיבק,תמי ספיבק,תמי_ספיבק,1972,1972,1
רונית_פורת_(שחקנית),רונית פורת,רונית_פורת_(שחקנית),1972,1972,1
__name__:ראובן בר יותם,ראובן בר יותם,,1972,1972,1
שמואל_וולף,שמואל וולף,שמואל_וולף,1972,1972,1
פול_סמית,פול סמית,פול_סמית,1973,1973,1
נירה_גל,נירה גל,נירה_גל,1973,1973,1
אברהם_בן-יוסף,אברהם בן-יוסף,אברהם_בן-יוסף,1963,1973,3
יעקב_בנאי,יעקב בנאי,יעקב_בנאי,1965,1973,3
אריס_סאן,אריס סאן,אריס_סאן,1973,1973,1
בומבה_צור,בומבה צור,בומבה_צור,1963,1973,5
יוסי_אלפי,יוסי אלפי,יוסי_אלפי,1973,1973,1
גבי_אלדור,גבי אלדור,גבי_אלדור,1970,1973,2
יהושע_לוף,יהושע לוף,יהושע_לוף,1973,1973,1
יוסי_בנאי,יוסי בנאי,יוסי_בנאי,1963,1973,7
אורי_זוהר,אורי זוהר,אורי_זוהר,1959,1973,5
יעקב_בן-סירא,יעקב בן-סירא,יעקב_בן-סירא,1963,1973,3
נחום_שליט,נחום שליט,נחום_שליט,1973,1973,1
__name__:יקי יושע,יקי יושע,,1973,1973,1
נסים_עזיקרי,נסים עזיקרי,נסים_עזיקרי,1960,1973,3
__name__:ראובן בר-יותם,ראובן בר-יותם,,1973,1973,1
נסים_סרוסי,נסים סרוסי,נסים_סרוסי,1974,1974,1
יצחק_חביס,יצחק חביס,יצחק_חביס,1974,1974,1
אריק_איינשטיין,אריק איינשטיין,אריק_איינשטיין,1962,1974,6
ג'טה_לוקה,ג'טה לוקה,ג'טה_לוקה,1974,1974,1
דליה_פרידלנד,דליה פרידלנד,דליה_פרידלנד,1965,1974,3
חיה_קציר,חיה קציר,חיה_קציר,1974,1974,1
ירדנה_ארזי,ירדנה ארזי,ירדנה_ארזי,1974,1974,1
איריס_דוידסקו,איריס דוידסקו,איריס_דוידסקו,1974,1974,1
סימה_אליהו,סימה אליהו,סימה_אליהו,1972,1974,2
יגאל_בשן,יגאל בשן,יגאל_בשן,1974,1974,1
יהודה_פוקס_(שחקן),יהודה פוקס,יהודה_פוקס_(שחקן),1964,1974,3
