u,v,years_ahead,probability,v_career_length,director_overlap
יגאל_נאור,עדנה_בליליוס,3,0.8792123145589289,1,1
אודי_פרסי,שמיל_בן_ארי,3,0.7463428532185296,19,0
יפתח_קליין,קרן_מור,3,0.9966666666666667,25,1
אושרי_כהן,אליאנה_תדהר,3,0.5503943648754991,1,0
מיה_דגן,נתן_רביץ,3,0.9002497211477657,1,1
אלון_אבוטבול,יאנה_יוסף,3,0.8158059374636397,1,0
אודי_פרסי,לירון_בן-שלוש,3,0.5593581399335437,6,0
חיים_זנאתי,יגאל_נאור,3,0.522584866900925,18,1
יובל_שרף,יערה_פלציג,3,0.8190067886210487,1,1
אודי_פרסי,יורם_חטב,3,0.6680506186877718,6,0
דניאל_גד,עפר_שכטר,3,0.7918798011625985,4,0
אורי_הוכמן,צחי_גראד,3,0.7784104578251595,10,0
אוולין_הגואל,יגאל_נאור,3,0.9702706076227758,18,1
אברהם_סלקטר,יגאל_נאור,3,0.5123621351158146,18,1
אריה_צ'רנר,גל_זייד,3,0.7611611958404156,6,0
גילת_אנקורי,דביר_בנדק,3,0.5461512124833806,15,1
טלי_שרון,יאנה_יוסף,3,0.5636725060362354,1,0
ישי_גולן,מיקי_לאון,3,0.5504765077754948,5,1
עפר_שכטר,תובל_שפיר,3,0.5246573762478197,1,0
עוז_זהבי,שלומי_קוריאט,3,0.7810274474115187,5,1
דניאל_גד,תובל_שפיר,3,0.7114647112316728,1,0
לירון_בן-שלוש,שמיל_בן_ארי,3,0.9177651438675061,19,1
מיה_דגן,ששון_גבאי,3,0.9937480899366951,26,1
גיל_פרנק,מיה_דגן,3,0.8823052634382506,5,1
דביר_בנדק,רועי_אסף,3,0.9558300481822164,7,1
דאנה_איבגי,נטלי_עטיה,3,0.7399413899652661,18,1
חיים_אוסדון,שלומי_קוריאט,3,0.7924336668508483,5,0
אנה_דוברוביצקי,שרון_אלכסנדר,3,0.8370259111434517,32,1
חיים_אוסדון,תומר_שרון,3,0.6001454587701144,1,0
אוולין_הגואל,מיטל_גל_סויסה,3,0.926304100078424,2,1
אוולין_הגואל,אורנה_בנאי,3,0.7982983625395009,9,1
יורם_חטב,שמיל_בן_ארי,3,0.8431560620311328,19,1
דב_נבון,יחזקאל_לזרוב,3,1.0,19,1
עופר_חיון,צחי_גראד,3,0.8979837240399722,10,1
גילה_אלמגור,מרים_זוהר,3,0.8455579256802481,1,2
דנה_פרידר,עופר_חיון,3,0.5991269411341755,7,1
יורם_חטב,לירון_בן-שלוש,3,0.7692430267193416,6,1
יבגניה_דודינה,שי_אביבי,3,0.9966666666666667,22,1
ליאור_אשכנזי,שירה_האס,3,0.8137951415221292,1,1
חנן_סביון,יגאל_נאור,3,0.6366616803431342,18,0
דביר_בנדק,קרן_ברגר,3,0.9270145088988406,2,1
גילה_אלמגור,עודד_תאומי,3,0.8008084307062016,51,6
__name__:יבגני אורלוב,משה_אשכנזי_(שחקן),3,0.6086477267834819,1,0
אוולין_הגואל,מלי_לוי,3,0.9353940221345499,10,1
טלי_שרון,עלי_סלימאן,3,0.8552574893482521,1,1
אוולין_הגואל,איציק_כהן_(שחקן),3,0.867920597311828,1,1
יעל_אבקסיס,שרון_אלכסנדר,3,0.9966666666666667,32,3
אודי_פרסי,שרון_אלכסנדר,3,0.8793749438571565,32,0
אניה_בוקשטיין,יפתח_קליין,3,0.9640972611578762,6,1
משה_איבגי,שרון_אלכסנדר,3,0.9933333333333333,32,6
גיל_פרנק,דרור_קרן,3,0.8966538025760413,18,1
אליאנה_תדהר,עוז_זהבי,3,0.8608832342218795,6,0
יובל_סגל_(1971),ששון_גבאי,3,0.9970814232700285,26,1
דניאל_גד,דניאל_מורשת,3,0.7103497083128171,1,0
גילה_אלמגור,מיכאל_אלוני,3,1.0,5,1
מוחמד_בכרי,פלורנס_בלוך,3,0.9260281579242421,9,1
נטלי_עטיה,שרון_אלכסנדר,3,0.6407991466412335,32,2
אושרי_כהן,עוז_זהבי,3,0.8099277576000181,6,1
אושרי_כהן,לנה_אטינגר,3,0.7392204152473448,1,1
אושרי_כהן,רותם_זיסמן-כהן,3,0.9952338084521131,4,2
לירון_לבו,משה_איבגי,3,0.9833333333333333,32,2
__name__:יבגני אורלוב,אולג_לוין,3,0.5073894654156863,1,0
אלון_דהן_(שחקן),מוריס_כהן_(שחקן),3,0.5073351738393499,1,1
ליא_קניג,קרן_מור,3,0.7471376177768853,25,1
אלון_דהן_(שחקן),רותם_זיסמן-כהן,3,0.6095302357111758,4,1
אורי_הוכמן,שרון_אלכסנדר,3,0.5039123596350397,32,0
דאנה_איבגי,שרון_אלכסנדר,3,0.9966666666666667,32,3
דנה_פרידר,עופר_שכטר,3,0.7561212094309844,10,1
גילה_אלמגור,הילה_פלדמן,3,0.8180553026113883,1,1
