,degree,betweenness,closeness,eigenvector,display_name,n_costars,n_collaborations,n_films,avg_distance_giant_component,most_important_costar
ליאת_אקטע,0.011764705882352941,0.0,0.26696531740529394,0.030956270357630218,ליאת אקטע,13,13,1,3.3491902834008096,יגאל עדיקא
הילה_סורג'ון_פישר,0.0027149321266968325,0.0,0.20553472203213533,2.644444887655032e-05,הילה סורג'ון פישר,3,3,1,4.350202429149798,ח'ליפה נאטור
נוני_גפן,0.005429864253393665,0.0,0.23772557462166782,0.0002569518188692714,נוני גפן,6,6,1,3.7611336032388665,קובי פרג'
גאיה_טראוב,0.005429864253393665,0.0,0.23772557462166782,0.0002569518188692706,גאיה טראוב,6,6,1,3.7611336032388665,קובי פרג'
אלה_ארמוני,0.005429864253393665,0.0,0.23772557462166782,0.00025695181886926954,אלה ארמוני,6,6,1,3.7611336032388665,קובי פרג'
חלי_גולדנברג,0.0009049773755656109,0.0,0.0009049773755656109,,חלי גולדנברג,1,1,1,,
אורי_לייזרוביץ',0.0036199095022624436,0.0,0.22844278130181475,8.180504252147943e-05,אורי לייזרוביץ',4,4,1,3.9139676113360324,דניאל גל
__name__:דקל וקנין,0.011764705882352941,0.0,0.26696531740529394,0.03095627035763021,דקל וקנין,13,13,1,3.3491902834008096,יגאל עדיקא
__name__:צ'ינו אלמיזרק,0.011764705882352941,0.0,0.26696531740529394,0.030956270357630218,צ'ינו אלמיזרק,13,13,1,3.3491902834008096,יגאל עדיקא
__name__:אלמוג רוזנו,0.011764705882352941,0.0,0.26696531740529394,0.03095627035763021,אלמוג רוזנו,13,13,1,3.3491902834008096,יגאל עדיקא
אמיר_ח'ורי,0.007239819004524887,0.0,0.23432048681541587,0.0006366656390204655,אמיר ח'ורי,8,8,1,3.8157894736842106,אליאנה תדהר
אריק_קנלר,0.0036199095022624436,0.0,0.18131942432145273,6.817940656020395e-06,אריק קנלר,4,4,1,4.931174089068826,אסתי ירושלמי
__name__:דורון צברי,0.0036199095022624436,0.0,0.18131942432145273,6.817940656021361e-06,דורון צברי,4,4,1,4.931174089068826,אסתי ירושלמי
משי_קלינשטיין,0.007239819004524887,0.0,0.23432048681541587,0.0006366656390204634,משי קלינשטיין,8,8,1,3.8157894736842106,אליאנה תדהר
רון_שחר,0.0018099547511312218,0.0,0.2034519196900317,2.9778097915405474e-05,רון שחר,2,2,1,4.394736842105263,אילן דר
עלא_דקה,0.007239819004524887,0.0,0.23432048681541587,0.0006366656390204644,עלא דקה,8,8,1,3.8157894736842106,אליאנה תדהר
נטע_רוט,0.007239819004524887,0.0,0.23432048681541587,0.0006366656390204634,נטע רוט,8,8,1,3.8157894736842106,אליאנה תדהר
גבריאל_לוין,0.0018099547511312218,0.0,0.0018099547511312218,,גבריאל לוין,2,2,1,,
__name__:דוד מזרחי,0.0018099547511312218,0.0,0.0018099547511312218,,דוד מזרחי,2,2,1,,
ריימונד_אבקסיס,0.0009049773755656109,0.0,0.22529666801686243,0.005904217173724284,ריימונד אבקסיס,1,1,1,3.9686234817813766,יגאל עדיקא
__name__:איגור אובלוזה,0.0018099547511312218,0.0,0.0018099547511312218,,איגור אובלוזה,2,2,1,,
ידין_גלמן,0.013574660633484163,0.0,0.26568067226890757,0.008329322881594279,ידין גלמן,15,15,1,3.3653846153846154,יפה לוי
יעל_שטולמן,0.013574660633484163,0.0,0.26568067226890757,0.008329322881594279,יעל שטולמן,15,15,1,3.3653846153846154,יפה לוי
שמעון_מימרן,0.005429864253393665,0.0,0.2779698663606412,0.0008833265310043478,שמעון מימרן,6,6,1,3.216599190283401,דאנה איבגי
אורנה_כץ,0.013574660633484163,0.0,0.26568067226890757,0.008329322881594279,אורנה כץ,15,15,1,3.3653846153846154,יפה לוי
יותם_קושניר,0.013574660633484163,0.0,0.26568067226890757,0.008329322881594275,יותם קושניר,15,15,1,3.3653846153846154,יפה לוי
__name__:נועם שנהב,0.013574660633484163,0.0,0.26568067226890757,0.00832932288159428,נועם שנהב,15,15,1,3.3653846153846154,יפה לוי
גיל_וייס,0.013574660633484163,0.0,0.26568067226890757,0.008329322881594279,גיל וייס,15,15,1,3.3653846153846154,יפה לוי
__name__:ספיר יוסף,0.013574660633484163,0.0,0.26568067226890757,0.008329322881594282,ספיר יוסף,15,15,1,3.3653846153846154,יפה לוי
__name__:אודי קנבל,0.013574660633484163,0.0,0.26568067226890757,0.008329322881594279,אודי קנבל,15,15,1,3.3653846153846154,יפה לוי
לירון_לב,0.005429864253393665,0.0,0.24443504020313164,0.00019169915357044177,לירון לב,6,6,1,3.6578947368421053,קובי פרג'
שירי_גדני,0.005429864253393665,0.0,0.24443504020313164,0.0001916991535704418,שירי גדני,6,6,1,3.6578947368421053,קובי פרג'
עידו_מוסרי,0.005429864253393665,0.0,0.24443504020313164,0.00019169915357044128,עידו מוסרי,6,6,1,3.6578947368421053,קובי פרג'
__name__:אלינור קלוגר,0.0018099547511312218,0.0,0.17625463593258534,4.401824623176807e-06,אלינור קלוגר,2,2,1,5.0728744939271255,שרון פרידמן
__name__:ג'ניה צ'רניק,0.0,0.0,0.0,,ג'ניה צ'רניק,0,0,1,,
גל_פרידמן_(שחקן),0.0018099547511312218,0.0,0.23766161831964425,0.0007106905559679058,גל פרידמן,2,2,1,3.7621457489878543,רועי אסף
__name__:עמרי פירר,0.0027149321266968325,0.0,0.1746862241040375,1.6966256384978616e-06,עמרי פירר,3,3,1,5.118421052631579,שני בן חיים
עלי_נאסר,0.0027149321266968325,0.0,0.1746862241040375,1.6966256384985554e-06,עלי נאסר,3,3,1,5.118421052631579,שני בן חיים
__name__:רונית פלד,0.0027149321266968325,0.0,0.1746862241040375,1.6966256384964014e-06,רונית פלד,3,3,1,5.118421052631579,שני בן חיים
איילת_מרגלית,0.00904977375565611,0.0,0.1971408692912559,1.6600769786670537e-05,איילת מרגלית,10,10,1,4.5354251012145745,ג'רמי פינטו
__name__:סמדי וולפמן,0.004524886877828055,0.0,0.2346940051259611,0.00016198952319921594,סמדי וולפמן,5,5,1,3.8097165991902835,שי אביבי
__name__:אמיר פלדמן,0.004524886877828055,0.0,0.2346940051259611,0.0001619895231992187,אמיר פלדמן,5,5,1,3.8097165991902835,שי אביבי
שרון_זליקובסקי,0.004524886877828055,0.0,0.2346940051259611,0.00016198952319921588,שרון זליקובסקי,5,5,1,3.8097165991902835,שי אביבי
__name__:ישראל מאיר וולקן,0.006334841628959276,0.0,0.006334841628959276,,ישראל מאיר וולקן,7,7,1,,
__name__:הלל שמעון,0.006334841628959276,0.0,0.006334841628959276,,הלל שמעון,7,7,1,,
__name__:רפאל גרינשטיין,0.006334841628959276,0.0,0.006334841628959276,,רפאל גרינשטיין,7,7,1,,
ישי_לפידות,0.006334841628959276,0.0,0.006334841628959276,,ישי לפידות,7,7,1,,
ג'וש_שגיא,0.006334841628959276,0.0,0.006334841628959276,,ג'וש שגיא,7,7,1,,
ששי_גז,0.006334841628959276,0.0,0.006334841628959276,,ששי גז,7,7,1,,
__name__:אסף קליין,0.006334841628959276,0.0,0.006334841628959276,,אסף קליין,7,7,1,,
עמירן_דביר,0.006334841628959276,0.0,0.006334841628959276,,עמירן דביר,7,7,1,,
דוד_קוניו,0.0027149321266968325,0.0,0.248491768015223,0.00018447579982404773,דוד קוניו,3,3,1,3.598178137651822,משה איבגי
__name__:איתן קוניו,0.0027149321266968325,0.0,0.248491768015223,0.00018447579982404976,איתן קוניו,3,3,1,3.598178137651822,משה איבגי
__name__:גיטה אמלי,0.0027149321266968325,0.0,0.248491768015223,0.00018447579982404927,גיטה אמלי,3,3,1,3.598178137651822,משה איבגי
__name__:הגר בן-אשר,0.0018099547511312218,0.0,0.19740519224449557,8.758193249390831e-06,הגר בן-אשר,2,2,1,4.529352226720648,ישי גולן
מיכל_שטמלר,0.004524886877828055,0.0,0.2317995894238042,0.0002062751038886551,מיכל שטמלר,5,5,1,3.8572874493927127,אניה בוקשטיין
טלי_אורן,0.004524886877828055,0.0,0.2317995894238042,0.00020627510388865868,טלי אורן,5,5,1,3.8572874493927127,אניה בוקשטיין
