actor_id,actor_name,actor_slug
__name__:איתן קוניו,איתן קוניו,
אלברט_אילוז,אלברט אילוז,אלברט_אילוז
אלברט_כהן,אלברט כהן,אלברט_כהן
אלדד_פריבס,אלדד פריבס,אלדד_פריבס
אלה_ארמוני,אלה ארמוני,אלה_ארמוני
__name__:אלון אבוטבול,אלון אבוטבול,
אלון_אבוטבול,אלון אבוטבול,אלון_אבוטבול
אלון_דהן,אלון דהן,אלון_דהן
אלון_דהן_(שחקן),אלון דהן,אלון_דהן_(שחקן)
אלון_נוימן,אלון נוימן,אלון_נוימן
אלון_פרידמן,אלון פרידמן,אלון_פרידמן
אלונה_איב,אלונה איב,אלונה_איב
אלונה_איינשטיין,אלונה איינשטיין,אלונה_איינשטיין
אלונה_טל,אלונה טל,אלונה_טל
אלונה_קמחי,אלונה קמחי,אלונה_קמחי
אלי_אילדיס,אלי אילדיס,אלי_אילדיס
אלי_אלטוניו,אלי אלטוניו,אלי_אלטוניו
__name__:אלי בן רעי,אלי בן רעי,
אלי_גורנשטיין,אלי גורנשטיין,אלי_גורנשטיין
אלי_דנקר,אלי דנקר,אלי_דנקר
אלי_יצפאן,אלי יצפאן,אלי_יצפאן
__name__:אלי מנשה,אלי מנשה,
אלי_פיניש,אלי פיניש,אלי_פיניש
אלי_קרן-אסף,אלי קרן-אסף,אלי_קרן-אסף
אליאנה_תדהר,אליאנה תדהר,אליאנה_תדהר
__name__:אליה סולימאן,אליה סולימאן,
__name__:אליה ענבר,אליה ענבר,
__name__:אלייזה וינטראוב,אלייזה וינטראוב,
אלינה_לוי,אלינה לוי,אלינה_לוי
אלינור_סלע,אלינור סלע,אלינור_סלע
__name__:אלינור קלוגר,אלינור קלוגר,
אליענה_בקייר,אליענה בקייר,אליענה_בקייר
אלישבע_וייל,אלישבע וייל,אלישבע_וייל
אלישבע_מיכאלי,אלישבע מיכאלי,אלישבע_מיכאלי
אלישע_בנאי,אלישע בנאי,אלישע_בנאי
אלכס_אנסקי,אלכס אנסקי,אלכס_אנסקי
__name__:אלכס בכרי,אלכס בכרי,
אלכס_פלג,אלכס פלג,אלכס_פלג
__name__:אלכסיי שטוקין,אלכסיי שטוקין,
אלכסנדר_סנדרוביץ',אלכסנדר סנדרוביץ',אלכסנדר_סנדרוביץ'
__name__:אלכסנדר פילינג,אלכסנדר פילינג,
__name__:אלמוג רוזנו,אלמוג רוזנו,
אלסנדרה_מוסוליני,אלסנדרה מוסוליני,אלסנדרה_מוסוליני
__name__:אלעד סטפנסקי,אלעד סטפנסקי,
אלעד_צפני,אלעד צפני,אלעד_צפני
אמה_מדינג,אמה מדינג,אמה_מדינג
אמיר_דוליצקי,אמיר דוליצקי,אמיר_דוליצקי
אמיר_ח'ורי,אמיר ח'ורי,אמיר_ח'ורי
אמיר_טסלר,אמיר טסלר,אמיר_טסלר
__name__:אמיר פלדמן,אמיר פלדמן,
אמיר_שורוש,אמיר שורוש,אמיר_שורוש
אמירה_בוזגלו,אמירה בוזגלו,אמירה_בוזגלו
__name__:אמיתי אשכנזי,אמיתי אשכנזי,
אמל_מורקוס,אמל מורקוס,אמל_מורקוס
__name__:אמרי קאהן,אמרי קאהן,
__name__:אנדריאה פראול,אנדריאה פראול,
אנדריי_קשקר,אנדריי קשקר,אנדריי_קשקר
אנה_ארונוב,אנה ארונוב,אנה_ארונוב
אנה_דוברוביצקי,אנה דוברוביצקי,אנה_דוברוביצקי
__name__:אנה ווליקובסקי,אנה ווליקובסקי,
אנה_זק,אנה זק,אנה_זק
אנחל_בונני,אנחל בונני,אנחל_בונני
__name__:אנט כהן,אנט כהן,
