u,v,years_ahead,probability,v_career_length,director_overlap
אליאנה_תדהר,נעמי_לבוב,5,0.3466281791673717,1,0
אורי_הוכמן,דאנה_איבגי,5,0.453458694914756,12,0
גרא_סנדלר,שירה_האס,5,0.23790471684840117,1,1
אודי_פרסי,אנה_דוברוביצקי,5,0.3346779446851303,1,0
איציק_כהן_(שחקן),חיים_זנאתי,5,0.33801414761704196,3,1
בני_אבני,עירית_קפלן,5,0.4805439560169125,1,1
אבי_קושניר,שלמה_בראבא,5,0.45862929018444976,38,1
זהר_ליבה,תובל_שפיר,5,0.24591728990537434,1,0
אליאנה_תדהר,דניאל_גד,5,0.25138928936358046,1,0
בני_אבני,רותם_אבוהב,5,0.48551528588806375,1,1
יואב_דונט,תמר_אלקן,5,0.4803318448997214,1,1
נתן_רביץ,ריקי_בליך,5,0.34866519882745306,12,1
אברהם_סלקטר,אוולין_הגואל,5,0.4652084969773305,4,1
אורלי_פרל,שני_קליין,5,0.11130199842970415,1,0
נטע_שפיגלמן,עלי_סלימאן,5,0.45619527579999813,1,1
אברהם_סלקטר,איציק_כהן_(שחקן),5,0.22260370995804815,1,1
הילה_פלדמן,ישי_גולן,5,0.37936119299653387,1,1
אבי_קושניר,דב_גליקמן,5,0.48339077116370843,37,1
גלעד_כהנא,תמר_אלקן,5,0.3602501252824853,1,0
אולג_לוין,משה_אשכנזי_(שחקן),5,0.4232866878148124,1,0
אלון_דהן_(שחקן),חיים_זנאתי,5,0.49412293393335205,3,1
אמיר_טסלר,ריקי_בליך,5,0.48585019090158216,12,0
אביגיל_אריאלי,זהר_ליבה,5,0.4737127104612102,1,1
לנה_אטינגר,רותם_זיסמן-כהן,5,0.47117651739723615,4,1
אמיר_טסלר,אריה_צ'רנר,5,0.4307625864178476,1,0
נטע_שפיגלמן,עודד_לאופולד,5,0.20462010022175695,1,0
חנן_סביון,עדנה_בליליוס,5,0.4607521647213295,1,0
חיים_זנאתי,מוריס_כהן_(שחקן),5,0.32202633886353155,1,1
גלעד_כהנא,יואב_דונט,5,0.4031965942243211,1,0
מאור_שוויצר,משה_פולקנפליק,5,0.45807490293915615,1,0
עירית_קפלן,רותם_אבוהב,5,0.39133849312766905,1,1
אורי_הוכמן,עופר_חיון,5,0.439708959488042,7,0
יאנה_יוסף,עלי_סלימאן,5,0.43491104625378285,1,0
אורנה_בנאי,איציק_כהן_(שחקן),5,0.40657362353977483,1,1
אמיר_טסלר,נתן_רביץ,5,0.36534472003412866,1,0
אורנה_בנאי,חיים_זנאתי,5,0.40742551704188723,3,1
אורי_הוכמן,נטלי_עטיה,5,0.30233412331831705,18,0
אברהם_סלקטר,חיים_זנאתי,5,0.2556737247733106,3,1
