u,v,years_ahead,probability,v_career_length,director_overlap
__name__:מאיר דסה,עליזה_רוזן,5,0.7004493180437326,43,1
יגאל_עדיקא,תובל_שפיר,5,0.5124448301419503,1,0
אסי_לוי,עליזה_רוזן,5,0.9346694542296224,43,1
גור_בנטביץ',קרן_ברגר,5,0.6747102096813955,2,1
__name__:אבי שניידמן,אתי_אנקרי,5,0.8680033335690981,8,1
__name__:יבגני אורלוב,נעמי_לבוב,5,0.5723312043829532,1,1
אוהד_שחר,רועי_בר_נתן,5,0.6816264078503806,1,0
אסי_כהן,דור_פלס,5,0.6420092578559151,1,1
אילן_דר,רבקה_נוימן,5,0.6601966477345634,7,1
חנה_אזולאי-הספרי,מנשה_נוי,5,0.9970814232700285,19,1
__name__:יואב סעדיאן רוזנברג,אפרת_דור,5,0.6319594124948437,4,0
__name__:יפית שלו,סמדר_סייר,5,0.5794776238681015,1,1
